source_file,budget_document_year,economic_class_code,economic_class_description,period_year,amount_kwacha
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,21,Personal Emoluments,2024,0
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,21,Personal Emoluments,2025,32463826
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,22,Goods and Services,2024,0
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,22,Goods and Services,2025,27497819
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,26,Grants and Other Payments(Transfers),2024,0
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,26,Grants and Other Payments(Transfers),2025,19361726
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,31,Non-Financial Assets,2024,0
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,31,Non-Financial Assets,2025,40603079
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,32,Financial Assets,2024,0
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,32,Financial Assets,2025,6984926
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,41,Current Liabilities (Payable within one year),2024,0
Mazabuka-Municipal-Council-2025-Budget.pdf,2025,41,Current Liabilities (Payable within one year),2025,6322741
