filename,category,year,constituency,title,source_url,source_page,pages,size_kb,has_native_text_layer
2021-Unmodified-Auditors-Report-Mazabuka-Council.pdf,audit_report,2021,,2021,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2024/09/2021-Unmodified-Auditors-Report-Mazabuka-Council.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,3,154.7,True
2022-FINANCIAL-STATEMENT.pdf,financial_statement,2022,,2022 FINANCIAL STATEMENT.pdf,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2024/09/2022-FINANCIAL-STATEMENT.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,34,8538.4,False
2022-Unmodified-Auditors-Report-Mazabuka-Council.pdf,audit_report,2022,,2022,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2024/09/2022-Unmodified-Auditors-Report-Mazabuka-Council.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,3,146.4,True
2023-FINANCIAL-STATEMENT..pdf,financial_statement,2023,,2023 FINANCIAL STATEMENT.pdf,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2024/12/2023-FINANCIAL-STATEMENT..pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,38,13047.0,False
2023-Unmodified-Auditors-Report-Mazabuka-Council.pdf,audit_report,2023,,2023,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2024/12/2023-Unmodified-Auditors-Report-Mazabuka-Council.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,3,1380.0,False
2024-FINANCIAL-STATEMENTS.pdf,financial_statement,2024,,2024 FINANCIAL STATEMENT,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2025/11/2024-FINANCIAL-STATEMENTS.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,35,11677.6,True
2025-BUDGET-PRPARATION-COMMUNITY-CONSULTATIVE-MEETING-1.pdf,budget_consultative_meeting,2025,,MINUTES OF THE COMMUNITY CONSULTATIVE MEETING FOR THE 2024 BUDGET PREPARATION.pdf,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2025/12/2025-BUDGET-PRPARATION-COMMUNITY-CONSULTATIVE-MEETING-1.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,12,211.4,True
2025-BUDGGET-PREPARATION-BUSINESS-STAKEHOLDERS-CONSULTATIVE-MEETING.pdf,budget_consultative_meeting,2025,,MINUTES OF THE BUSINESS STAKEHOLDERS BUDGET CONSULTATIVE MEETING FOR THE 2024 BUDGET PREPARATION.,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2025/12/2025-BUDGGET-PREPARATION-BUSINESS-STAKEHOLDERS-CONSULTATIVE-MEETING.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,8,194.6,True
2025-BUSINESS-STAKEHOLDERS-ENGANGEMENT-MEETING..pdf,budget_consultative_meeting,2025,,2025 BUSINESS STAKEHOLDERS ENGAGEMENT MEETING COOPERATE BRUNCH.pdf,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2025/11/2025-BUSINESS-STAKEHOLDERS-ENGANGEMENT-MEETING..pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,9,111.8,True
2026-BUDGET-PREPARATION-COMMUNITY-CONSULTATIVE-MEETING.pdf,budget_consultative_meeting,2026,,MINUTES OF THE COMMUNITY CONSULTATIVE MEETING FOR THE 2026 BUDGET PREPARATION,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2025/12/2026-BUDGET-PREPARATION-COMMUNITY-CONSULTATIVE-MEETING.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,14,248.2,True
2026-BUDGET-PREPARATIONS-BUSINESS-STAKEHOLDERS-CONSULTATIVE-MEETING.pdf,budget_consultative_meeting,2026,,MINUTES OF THE BUSINESS STAKEHOLDERS BUDGET CONSULTATIVE MEETING FOR THE 2026 BUDGET PREPARATION.,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2025/12/2026-BUDGET-PREPARATIONS-BUSINESS-STAKEHOLDERS-CONSULTATIVE-MEETING.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,8,200.1,True
ACT-No.-1-OF-2024-THE-CONSTITUENCY-DEVELOPMENT-FUND.pdf,cdf_policy_guideline,2024,,"ACT No. 1 OF 2024, THE CONSTITUENCY DEVELOPMENT FUND",http://www.mazabukacouncil.gov.zm/wp-content/uploads/2024/12/ACT-No.-1-OF-2024-THE-CONSTITUENCY-DEVELOPMENT-FUND.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,18,418.6,True
APPLICATION-FORM-FOR-COMMUNITY-PROJECTS.pdf,other,,,CDF Community Projects Application forms,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2023/11/APPLICATION-FORM-FOR-COMMUNITY-PROJECTS.pdf,https://www.mazabukacouncil.gov.zm/?page_id=1435,6,145.8,True
APPROVED-COMMUNITY-PROJECTS-2025-MAGOYE1.pdf,cdf_project_list,2025,Magoye,APPROVED 2025 COMMUNITY PROJECTS MAGOYE.pdf,http://www.mazabukacouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-COMMUNITY-PROJECTS-2025-MAGOYE1.pdf,https://www.mazabukacouncil.gov.zm/?page_id=959,1,71.4,True
