source_file|year|constituency|category|sn|record_text|page|extraction_method
CDF-2024-SUCCESSFUL-YOUTH-WOMEN-COMMUNITY-EMPOWERMENT-LOAN-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|empowerment_loan|1|SugAR Of ZAMB)A CDF 2024 SUCESSFUL EMPOWERMENT LOAN APPLICANTS-MAGOYE Name of Groupl Type of No. Individual applicant Ward Sector 1 [Fecha Poultry House Individual Itebe Livestock Munakaanza Business Commerce|0|ocr
CDF-2024-SUCCESSFUL-YOUTH-WOMEN-COMMUNITY-EMPOWERMENT-LOAN-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|empowerment_loan|2|Enterprises Individual Itebe & Trade|0|ocr
CDF-2024-SUCCESSFUL-YOUTH-WOMEN-COMMUNITY-EMPOWERMENT-LOAN-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|empowerment_loan|3|Onachati Enterprise Individual Mbaya Agriculture|0|ocr
CDF-2024-SUCCESSFUL-YOUTH-WOMEN-COMMUNITY-EMPOWERMENT-LOAN-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|empowerment_loan|4|Memsai General Dealers Individual Munenga Livestock|0|ocr
CDF-2024-SUCCESSFUL-YOUTH-WOMEN-COMMUNITY-EMPOWERMENT-LOAN-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|empowerment_loan|5|Frewema General Dealers Individual Munjile Transport Choogris General Dealers Individual MwanachingwLivestock Munakanke Genaeral Dealers Individual MwanachingwTransport|0|ocr
CDF-2024-SUCCESSFUL-YOUTH-WOMEN-COMMUNITY-EMPOWERMENT-LOAN-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|empowerment_loan|8|Mn Leaders Enterprice Individual Nachipooma Livestock Commerce|0|ocr
CDF-2024-SUCCESSFUL-YOUTH-WOMEN-COMMUNITY-EMPOWERMENT-LOAN-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|empowerment_loan|9|Hunter Stationary Individual Ngwezi & Trade Ngwezi Ovc Care And|0|ocr
CDF-2024-SUCCESSFUL-YOUTH-WOMEN-COMMUNITY-EMPOWERMENT-LOAN-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|empowerment_loan|10|Support Coperative Community Ngwezi IA Agriculture 0 MUNIcTT T REPUBLIC MAZABUKA COUNCIL|0|ocr
CDF-2024-SUCCESSFUL-YOUTH-WOMEN-COMMUNITY-EMPOWERMENT-LOAN-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|empowerment_loan|202|4 APR 0 3 CLERK TOWN THE 670022, OF BOX OFFICE P.O MAZABUKA 11 Tubumbe Youth Club Youth Nkonkola Livestock 12 Nankumbe MPC Community Nkonkola Agriculture Mbayamusum 13 Monoris Enterprise Individual Agriculture Commerce 14 Metjoe Enterprise Individual Munenga & Trade Mahuumina Multipurspose 15 Limited Individual Munjile Agriculture 16 Tila Cizule MPC Community Musuma Agriculture Commerce 17 Hazwezwe MPC Individual Mwanchingwal& Trade Commerce 18 Mazubo General Dealers Individual Ngwezi & Trade 2Mejn 65 MUNICIPAL RErubLic MAZABUKA CQUNCIL 2024 APR CLERK 03 TOWN THE 670022, OF BOX OFFICE P.O: MAZABUKA|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|1|~Sugar O7 ZAMBIA SUCCESSFUL NAMES OF SECONDARY SCHOOL LEARNERS UNDER SPONSORSHIP FOR 2024 CDF ALLOCATION MAGOYE CONSTITUENCY_ Grad No: Name of Pupil Constituen Ward Sex (M/F) Name of School MOONGA TWALUMBA MAGOYE CHIVUNA FEMALE BATOKA SECONDARY|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|2|ALEX SISELO MULIKISI MAGOYE NGWEZI MALE BLESSED BAKANJA SECONDARY SCHOOL|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|3|NYAMBE MIKE MAGOYE MUSUMA MALE CANISIUS SECONDARY SCHOOL NZAAMBA MACSWEENEY MAGOYE NGWEZI MALE CANISIUS SECONDARY SCHOOL SIBAMBI CHEELELA MAGOYE NGWEZI MALE 10 CANISIUS SECONDARY SCHOOL CHINKULI PRINCIPAL MAGOYE MBAYA FEMALE CHIKANKATA SECONDARY CHISENGELE LUBOMBA MAGOYE KALAMA FEMALE CHIKANKATA SECONDARY|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|8|MUCHAPE MAINZA MAGOYE CHIVUNA FEMALE CHIKANKATA SECONDARY TEMBO ALICE MAGOYE NGWEZI FEMALE 10 CHIKANKATA SECONDARY|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|10|cHOOKA PROSPER MAGOYE NKONKOLA MALE 10 CHIKANKATA SECONDARY HIKANZAMULEYA DOMINIdMAGOYE NGWEZI MALE 10 CHIKANKATA SECONDARY|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|12|MWEEMBA HIMWIINGA MAGOYE NGWEZI MALE CHIKANKATA SECONDARY|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|13|MWEENE PROTACIOUS MAGOYE MWANACHINGWAMALE CHIKANKATA SECONDARY I4/CHIYOBEKA SHEWIN MAGOYE NGWEZI FEMALE 10 CHIKANKATA SECONDARY SCHOOL|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|15|MUCHINDU FALLEN CHINOIMAGOYE CHIVUNA FEMALE CHIKANKATA SECONDARY SCHOOL|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|16|MAINZA ANDREW KEEMPE MAGOYE NGWEZI MALE 10 CHIKANKATA SECONDARY SCHOOL|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|17|MUJUKU YU MAGOYE MUSUMA MALE 10 CHIKANKATA SECONDARY SCHOOL|0|ocr
CDF-2024-SUCCESSFUL-SECONDARY-SCHOOL-BURSARY-APPLICANTS-MAGOYE-CONSTITUENCY.pdf|2024|Magoye|secondary_school_bursary|18|/TRIUMPHANT CHABWE MAGOYE MUNENGA MALE CHIKANKATA SECONDARY SCHOOL|0|ocr
