source_file|year|constituency|category|sn|record_text|page|extraction_method
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|1|1 Of ZaMBIA CDF 2024 APPROVED LIST OF COMMUNITY PROJECTS -MAGOYE CONSTITUENCY SIN WARD NAME OF PROJECT Kalama Construction of staff house at Mabanga primary School|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|2|Chivuna Drilling of 15 boreholes in Chivuna|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|3|Mbaya Construction of a Clinic in Nachityombwe Construction of a 1x3 Classroom Block at Magoye|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|4|Ngwezi Primary School_ Construction of a staff for a Agriculture Extension|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|5|Itebe officer at Itebe basic school Munega_ Drilling of 6 boreholes in Munenga 6 Nachipooma Construction of a Police Post in Kaleya_|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|8|Mwanachingwala Construction of a staff house at Nziba clinic|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|9|Munjile Construction of Spray less in Kataba Community|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|10|Nkonkola Drilling of 6 boreholes in Nkonkola|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|11|Musuma Drilling of 6 boreholes in Musuma|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|12|All Wards Procurement of an Ambulance|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|13|AIl Wards Procurement of a motor bike for Chief retainer|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|14|All Wards Construction of the chiefs Palace|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|15|All Wards Drought mitigation|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|16|AIl Wards Procurement of desks|0|ocr
CDF-2024-APPROVED-LIST-OF-COMMUNITY-PROJECTS-MAGOYE-1.pdf|2024|Magoye|approved|17|Ngwezi Rehabilitation of Magoye Township Roads VaE Nut MAZA URA COUNC jun 2024 CLERK TOWN OF THE 670022, OFFICE BoX P.O. MAZABUKA|0|ocr
