source_file|budget_document_year|category_code|category_name|item_code|item_description|period_year|amount_kwacha
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|001|Residential|2024|5339349
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|001|Personal levy|2024|128011
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|001|Residential|2025|5793194
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|001|Personal levy|2025|138892
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|001|Residential|2026|6285615
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|001|Personal levy|2026|150698
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|002|Commercial|2024|3387229
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|002|Commercial|2025|3675143
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|002|Commercial|2026|3987530
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|005|Mining/Plant|2024|396000
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|005|Mining/Plant|2025|429660
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|01|Local taxes/rates|005|Mining/Plant|2026|466181
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|02|Fees and Charges|001|Consent fees|2024|12000
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|02|Fees and Charges|001|Consent fees|2025|13020
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|02|Fees and Charges|001|Consent fees|2026|14127
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|02|Fees and Charges|003|Building inspection-fees|2024|428100
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|02|Fees and Charges|003|Building inspection-fees|2025|461489
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|02|Fees and Charges|003|Building inspection-fees|2026|503970
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|02|Fees and Charges|004|Plan scrutiny fee|2024|120000
Mazabuka-Municipal-Council-2024-Budget.pdf|2024|02|Fees and Charges|004|Plan scrutiny fee|2025|130200
